departure,arrival,duration
"Regensdorf, Althard","Regensdorf, Dreispitz",9
"Ringlikon, Gättern","Waldegg, Leuen",9
Rüschlikon,"Rüschlikon, Belvoir",10
"Schlieren, Rütistrasse","Schlieren, Bahnhof Nord",7
Spital Zollikerberg,"Waldburg, Station",7
"Uetikon am See, Grossdorf","Uetikon am See, Oergelacher",10
"Urdorf, Oberurdorf","Urdorf, Sonne",8
"Wallisellen, Kaserne","Wallisellen, Herti",10
"Watt, Geerenweg","Watt, Dorf",9
"Winterthur, Niederfeld","Winterthur, Schulhaus Wyden",4
"Wädenswil, Krähbach","Wädenswil, Rötiboden",9
"Zürich Affoltern, Bahnhof","Zürich, Fronwald",5
Zürich Central (Polybahn),"Zürich, Bahnhofstrasse/HB",7
"Zürich Leimbach, Bahnhof","Zürich, Marbachweg",9
"Zürich, Balgrist","Zürich, Burgwies",10
"Zürich, Billoweg","Zürich, Landiwiese",4
"Zürich, Eschergutweg","Zürich, Fischerweg",7
"Zürich, Fellenbergstrasse","Zürich, Albisriederdörfli",5
"Zürich, Germaniastrasse","Zürich, Rigiblick",2
"Zürich, Jugendherberge",Zürich Wollishofen,9
"Zürich, Max-Bill-Platz",Zürich Oerlikon,8
"Zürich, Michelstrasse","Zürich, Zwielplatz",10
"Zürich, Post Wollishofen","Zürich, Rote Fabrik",7
"Zürich, Toni-Areal","Zürich, Bernoulli-Häuser",9
"Adliswil, Rifertstrasse","Adliswil, Badstrasse",9
"Adliswil, Schulhaus Kopfholz","Adliswil, Tobelhof",10
"Bremgarten AG, West","Bremgarten AG, Meyerhof",6
Bremgarten Isenlauf,"Bremgarten AG, Meyerhof",4
"Bülach, Untertor","Bülach, Pfarrgässli",2
"Dielsdorf, Dorfzentrum","Dielsdorf, Bezirksgebäude",2
Dietikon Schöneggstrasse,"Dietikon, Dörfli",10
"Dietlikon, Zentrum","Dietlikon, Hofwiesen",8
"Dübendorf, Im Grund","Dübendorf, Memphis",5
"Erlenbach ZH,Kirchgemeindehaus","Erlenbach ZH, Im Vogelsang",9
"Grafstal, Oberdorf","Grafstal, Engelacher",5
"Kilchberg ZH, Schlimbergstr.","Kilchberg ZH, Bahnhof",8
"Küsnacht ZH, Zentrum",Küsnacht ZH,3
"Meilen, Zur Au","Meilen, In der Au",6
"Niederrohrdorf, Hiltiberg","Niederrohrdorf, Egro",8
"Niederrohrdorf, Hiltimatt","Niederrohrdorf, Egro",9
"Niederrohrdorf,Gemeindezentrum","Niederrohrdorf, Egro",6
"Oberlunkhofen, Haldenmatten","Oberlunkhofen, Post",4
"Oberweningen, Dorf","Oberweningen, Im Hüebli",7
"Oberwil-Lieli, im Moos","Oberwil-Lieli, Lieli Dorf",5
"Opfikon, Austrasse","Opfikon, Grätzli",10
"Rorbas, Dorfplatz","Rorbas, Hirschen",9
"Rümlang, Bahnhof","Rümlang, Oberdorf",6
"Schlieren, Wagonsfabrik","Schlieren, Zentrum/Bahnhof",9
"Thalwil, Archstrasse","Thalwil, Aegertli",4
"Thalwil, Platte","Thalwil, Aubrigstrasse",5
"Thalwil, Rudishaldenstrasse","Thalwil, Archstrasse",8
"Uster, Loren","Uster, Loren-Allee",4
"Uster, Reithalle","Uster, Himmelriich",5
"Volketswil, Hofwisen","Volketswil, Milandia",7
"Volketswil, Milandia","Volketswil, Hölzliwisen",8
"Wallisellen, Zielacker","Wallisellen, Guyer-Weg",9
"Wettswil a.A., Heissächerstr.","Wettswil a.A., Rehweid",9
"Winterthur, Gewerbeschule",Gewerbeschule,0
"Winterthur, Zeughaus","Winterthur, Technikum",10
"Wädenswil, Büelen","Wädenswil, Neudorf",8
"Würenlos, Bahnhofplatz","Würenlos, Bahnhof",3
Zürich HB,Zürich Central (Polybahn),7
"Zürich Stadelhofen, Bahnhof",Zürich Stadelhofen,1
"Zürich Wollishofen,Bhf/Staubst",Zürich Wollishofen,2
"Zürich, Bachmattstrasse","Zürich Altstetten, Bahnhof",10
"Zürich, Bircher-Benner","Zürich, Kirche Fluntern",9
"Zürich, Bus Station","Zürich, Beckenhof",9
"Zürich, Elektrowatt","Zürich, Höschgasse",6
"Zürich, Friedrichstrasse","Zürich, Schörlistrasse",10
"Zürich, Hadlaubstrasse","Zürich, Vogelsangstrasse",9
"Zürich, Hirzenbach","Zürich, Altried",6
"Zürich, Leutschenbach","Zürich, Oerlikerhus",8
"Zürich, Nordstrasse","Zürich, Okenstrasse",4
"Zürich, Sihlquai/HB","Zürich, Bahnhofplatz/HB",7
"Zürich, Spyriplatz","Zürich, Hinterbergstrasse",7
"Adliswil, Grüt","Adliswil, Moos",7
"Bassersdorf, Dietlikonerstr.",Bassersdorf,9
"Bremgarten AG, Zelgli",Bremgarten Obertor,10
"Dietikon, Stadthalle Ost","Dietikon, Staffelackerstrasse",9
"Embrach, Zürcherstrasse","Embrach, Oberdorf",7
"Herrliberg, Gartenstrasse","Herrliberg, Harzerstrasse",9
"Horgen, Baumgärtlihof","Horgen, Dorfgasse",3
"Kloten, Schluefweg","Kloten, Breitistrasse/Bahnhof",6
"Meilen, Hallenbad","Meilen, Bahnhof",7
"Mettmenstetten, Oberdorf","Mettmenstetten, Schulhaus",10
"Muri AG, Egg",Muri AG,8
"Niederrohrdorf, Hiltiberg","Niederrohrdorf, Hiltimatt",10
"Oberhasli, Spielplatz","Oberhasli, Moosacker",4
"Oberrieden, Wattenbühlweg",Oberrieden Dorf,9
"Oberweningen, Dorf","Oberweningen, Hüeblistrasse",10
"Schlieren, Feldstrasse","Schlieren, Bahnhof Nord",6
"Schlieren, Gasometerbrücke","Schlieren, Wagonsfabrik",10
"Uetikon am See, Gemeindehaus",Uetikon,8
"Uster, Jungholz","Uster, Turicum",6
"Uster, Oberlandstrasse","Uster, Dammstrasse",3
Uster,"Uster, Bahnhof",3
"Winterthur, Brüttenerfussweg","Winterthur, Hedy Hahnloser",3
"Winterthur, Gaswerk","Winterthur, Zentrum Töss",10
"Winterthur, Haltenreben","Winterthur, Wülflingen",9
"Winterthur, Museumstrasse/HB",Winterthur,3
"Wohlen AG, Gerstmatt","Wohlen AG, Sustenweg",6
"Wohlen AG, obere Haldenstrasse","Wohlen AG, Guggimatt",10
Zürich Friesenberg,"Zürich, Grubenstrasse",8
Zürich Storchen,"Zürich, Bellevue",10
"Zürich, Bahnhofplatz/HB","Zürich, Rennweg",10
"Zürich, Berghaldenstrasse","Zürich, Buchzelgstrasse",8
"Zürich, Bristenstrasse",Zürich Altstetten,5
"Zürich, Brunaustrasse","Zürich, Schweizer Rück",10
"Zürich, Central",Zürich HB,7
"Zürich, Friesenbergstrasse",Zürich Friesenberg,8
"Zürich, Germaniastrasse","Zürich, Goldauerstrasse",5
"Zürich, Goldauerstrasse","Zürich, Winkelriedstrasse",8
"Zürich, Kernstrasse","Zürich, Werd",7
"Zürich, Loogarten","Zürich, Salzweg",4
"Zürich, Opernhaus","Zürich Stadelhofen, Bahnhof",3
"Zürich, Rosengartenstrasse","Zürich, Wipkingerplatz",5
"Zürich, Sihlcity Nord","Zürich, Hügelstrasse",7
"Zürich, Sonneggstrasse","Zürich, Stampfenbachplatz",6
"Zürich, Stadtgrenze","Kilchberg ZH, Hornhaldenstr.",7
"Zürich, Waffenplatz-/Bederstr.","Zürich Enge, Bahnhof/Bederstr.",9
"Affoltern a.A., Bahnhof",Affoltern am Albis,1
"Bassersdorf, Talgüetli","Bassersdorf, Chlupfgasse",7
"Benglen, Gerlisbrunnen","Benglen, Bodenacher",9
"Bremgarten AG, Kaserne","Bremgarten AG, Stockweier",10
"Bülach, Stadthalle","Bülach, Kreuzstrasse",10
"Dietlikon, Fuchshalde","Dietlikon, In Lampitzäckern",8
"Dübendorf, Wasserfurren","Dübendorf, Meiershofstrasse",8
"Erlenbach ZH, Im Bindschädler","Erlenbach ZH, Rebstrasse",9
"Erlenbach ZH, Sandfelsenstr.","Erlenbach ZH, Alterswohnheim",9
Glanzenberg,"Dietikon, Birmensdorferstrasse",6
"Hermetschwil, Kloster","Staffeln AG, Gass",6
"Herrliberg, Gartenstrasse",Herrliberg-Feldmeilen,9
"Herrliberg, Schulhaus","Herrliberg, Rebberg",2
"Herrliberg, Tennisplätze","Herrliberg, Oberdorfweg",9
"Horgen, Fischenrüti","Horgen, Stotzweid/Feller",8
"Küsnacht ZH, Boglerenstrasse","Küsnacht ZH, Schiedhaldenstr.",8
"Maschwanden, Sagi","Maschwanden, Dorf",8
"Oberweningen, Dorf","Schöfflisdorf-Oberwen, Bahnhof",6
"Regensdorf, Furtbächli","Regensdorf, Hardhölzli",7
"Regensdorf, Hardhölzli","Regensdorf, Dreispitz",8
"Spreitenbach, Fegistrasse","Spreitenbach, Härdlistrasse",4
"Thalwil, Rainstrasse","Thalwil, Gewerbestrasse",10
"Uetikon am See, Forbüelstrasse","Uetikon am See, Talstrasse",5
"Volketswil, Hegnau","Volketswil, Chappeli",4
"Wettingen, Halbartenstrasse","Wettingen, Bushof",7
"Wettswil a.A., Oberhusen","Wettswil a.A., Chilenholzstr.",9
Winterthur Töss,"Winterthur, Tössfeld",9
"Winterthur, Archstrasse/HB","Winterthur, Technikum",9
"Winterthur, Irchelstrasse","Winterthur, Jonas Furrer",4
"Winterthur, Neubruch","Winterthur, Auwiesen",8
"Winterthur, Schmidgasse",Winterthur,6
"Zollikerb., Langägerten/Spital",Waldburg,8
"Zürich, Bristenstrasse","Zürich Altstetten, Bahnhof",4
"Zürich, Elektrowatt","Zürich, Chinagarten",8
"Zürich, Laubegg","Zürich, Saalsporthalle",6
"Zürich, Lägernstrasse","Zürich, Bucheggplatz",6
"Zürich, Mattenhof","Zürich, Probstei",8
"Zürich, Opernhaus","Zürich, Kreuzstrasse",6
"Zürich, Wieslergasse","Zürich, Meierhofplatz",7
"Adliswil, Dietlimoos","Adliswil, Sunnau",9
"Benzenschwil, Bahnhof",Benzenschwil,4
"Bertschikon b. G., Müselacher","Bertschikon bei Gossau, Dorf",6
"Bülach, Sonnenhof","Bülach, Bahnhof",6
"Erlenbach ZH,Kirchgemeindehaus","Erlenbach ZH, Bahnhof",8
"Herrliberg, Holzwies","Herrliberg, Vogtei",9
Horgen Oberdorf,"Horgen, Stocker",7
"Horgen, Wannenthal","Horgen, Schärbächli/Fähre",6
"Horgen, untere Mühle",Horgen (See),8
"Kilchberg ZH, Auf Brunnen","Kilchberg ZH, Lindt & Sprüngli",9
"Kilchberg ZH,Schulhaus Dorfstr","Kilchberg ZH, Gottlieb-Binder",8
"Kollbrunn, Bahnhof",Kollbrunn,1
"Küsnacht ZH, Goldbacherstrasse","Küsnacht ZH, Bühlstrasse",6
"Meilen, Friedhof","Meilen, Bahnhof",8
"Merenschwand, Zentrum","Merenschwand, Unterdorf",9
"Männedorf, Spital","Männedorf, Bahnhof",8
"Rüschlikon, Loorain","Rüschlikon, Eggrain",8
"Schlieren, Steinacker","Dietikon, Schönenwerd",4
Sihlau,"Adliswil, Landolt-Junker-Str.",5
"Sihlbrugg, Alter Bahnhof",Sihlbrugg,1
"Stallikon, Aumüli","Stallikon, Tägerst",8
"Wallisellen, Florastrasse","Wallisellen, Haldenstrasse",9
"Wettingen, Halbartenstrasse","Wettingen, Jurastrasse",8
"Winterthur, Sennhof",Sennhof-Kyburg,4
"Winterthur, Stadthaus","Winterthur, Schmidgasse",6
"Wohlen AG, Altersheim Bifang","Wohlen AG, Rigistrasse",5
"Wohlen AG, Altersheim Bifang","Wohlen AG, Turmstrasse",9
"Wohlen AG, Schulen Junkholz","Wohlen AG, Junkholzweg",5
"Wädenswil, Schmiedstube","Wädenswil, Schwanen",5
Zürich Central (Polybahn),"Zürich, Central",1
"Zürich Stadelhofen, Bahnhof",Zürich Bellevue (See),6
"Zürich, Alte Trotte","Zürich, Schwert",7
"Zürich, Bahnhofquai/HB",Zürich HB,3
"Zürich, Baslerstrasse","Zürich Altstetten, Bahnhof",6
"Zürich, Bethanien","Zürich, Voltastrasse",10
"Zürich, Birchstrasse","Zürich, Max-Bill-Platz",9
"Zürich, Guggachstrasse","Zürich, Laubiweg",6
"Zürich, Kantonalbank","Zürich, Bellevue",9
"Zürich, Meierhofplatz","Zürich, Kappenbühlweg",3
"Zürich, Neeserweg","Zürich, Hermetschloo",9
"Zürich, Opernhaus",Zürich Stadelhofen,3
"Zürich, Staudenbühl","Zürich, Neunbrunnen",9
"Zürich, Werd","Zürich, Bezirksgebäude",5
"Zürich, Wieslergasse","Zürich, Kappenbühlweg",5
"Zürich, Zypressenstrasse","Zürich, Bertastrasse",7
"Affoltern a.A., Weinberg","Affoltern a.A., Lilienberg",8
"Bremgarten AG, West",Bremgarten Isenlauf,7
"Brüttisellen, Gemeindehaus","Brüttisellen, Gsellhof",4
"Bülach, Untertor","Bülach, Mettmenriet",8
"Dielsdorf, Dorfzentrum","Dielsdorf, Spitalstrasse",5
"Dietlikon, Bahnhof","Dietlikon, Zentrum",7
"Dübendorf, Hochbord Nord","Dübendorf, Ringwiesen",10
"Ehrendingen, Niedermatt","Ehrendingen, Post",8
"Erlenbach ZH, Chapf","Erlenbach ZH, Föhrenstrasse",3
"Geroldswil, Schweizäcker","Oetwil an der Limmat, Halde",9
"Glattpark, Wright-Strasse","Glattpark, Lindbergh-Allee",10
"Herrliberg, Alterssiedlung","Herrliberg, Gartenstrasse",5
"Hirzel, Vorderi Siten","Hirzel, Katholische Kirche",7
"Kilchberg ZH, Auf Brunnen","Kilchberg ZH, Altersheim",8
"Kilchberg ZH, Obere Hornhalde","Kilchberg ZH, Hornhaldenstr.",6
"Kilchberg ZH, Stockengut","Kilchberg ZH, Kreuzstrasse",8
"Kloten, Neubrunnenstrasse","Kloten, Lägernstrasse",4
Küsnacht ZH (See),"Küsnacht ZH, Zentrum",6
"Küsnacht ZH, Bergstrasse","Küsnacht ZH, Gartenstrasse",8
Küsnacht ZH,"Küsnacht ZH, Schiedhaldenstr.",9
"Neuhaus bei Hinteregg, Station",Neuhaus bei Hinteregg,1
"Oberhasli, Spielplatz","Oberhasli, Hasliberg",9
"Opfikon, Zil","Opfikon, Grätzli",9
Thalwil (See),"Thalwil, Archstrasse",10
"Volketswil, Zentrum","Volketswil, Chappeli",10
"Wallisellen, Säntisstrasse","Wallisellen, Ifang",10
"Wallisellen, Säntisstrasse","Wallisellen, Spitzacker",9
"Weiningen ZH, Aegelsee","Unterengstringen, Aegelsee",3
"Winterthur, Steigmühle","Winterthur, Steig",6
"Wädenswil, Bahnhof","Wädenswil, Schlossbergstrasse",10
Zürich HB,"Zürich, Bus Station",8
"Zürich Wipkingen, Bahnhof",Zürich Wipkingen,1
"Zürich, Bellevue","Zürich, Kantonalbank",9
"Zürich, Blumenfeldstrasse","Zürich, Hungerbergstrasse",9
"Zürich, Geeringstrasse","Zürich, Heizenholz",8
"Zürich, Glaubtenstrasse Süd","Zürich, Glaubtenstrasse",2
"Zürich, Kantonsschule Enge",Zürich Giesshübel,10
"Zürich, Kienastenwies","Zürich, Trichtenhausenfussweg",5
"Zürich, Schmiede Wiedikon","Zürich, Goldbrunnenplatz",9
"Zürich, Schäppiweg","Zürich, Langensteinenstrasse",7
"Zürich, Sihlpost/HB","Zürich, Stauffacher",10
"Zürich, Wieslergasse","Zürich, Zwielplatz",5
"Bremgarten AG, Bahnhof",Bremgarten,1
"Cham, Niederwil Schulhaus","Cham, Niederwil",8
"Dietikon, Gjuchstrasse","Dietikon, Stadthalle Ost",8
"Dietlikon, Bahnhof/Bad","Dietlikon, Bahnhof",6
"Dübendorf, Grüzenstrasse","Dübendorf, Zelglistrasse",6
"Dübendorf, Sonnenberg","Dübendorf, Raubbühl",5
"Herrliberg, Aryanastrasse","Herrliberg, Alterssiedlung",7
"Horgen, Schnegg","Horgen, Gehren",10
"Kilchberg ZH, Stockengut","Kilchberg ZH, Altersheim",10
"Kloten, Geissbergstrasse","Kloten, Wohnheim",4
"Kloten, Härdlen","Kloten, Wohnheim",7
"Kloten, Rankstrasse","Kloten, Mühle",3
"Kyburg, Ausserdorf","Kyburg, Dorf",7
"Küsnacht ZH, Reform. Kirche","Küsnacht ZH, Oberwacht",7
"Meilen, Parkresidenz",Meilen,9
Meilen,Meilen (See),8
"Mönchaltorf, Traube","Mönchaltorf, Mönchhof",7
"Neuenhof, Posthorn","Neuenhof, Kirchfeld",9
"Ottenbach, Rigiblick","Ottenbach, Zentrum",6
"Pfäffikon ZH, Bussenhausen","Pfäffikon ZH, Frohwies",10
"Pfäffikon ZH, im Spitz","Pfäffikon ZH, Witzberg",10
"Russikon, Gemeindehaus","Russikon, Kirche",6
"Rümlang, Gemeindehaus",Rümlang,10
"Rüschlikon, Bahnhof","Rüschlikon, Belvoir",8
"Teufen ZH, Schulhaus","Teufen ZH, Oberteufen",6
"Uster, Burgstrasse","Uster, Talacker",7
"Uster, Koppach","Uster, Herracher",5
"Wangen b D'dorf, Weidli","Wangen b D'dorf, Hätzelwisen",7
"Wettingen, Bahnhof","Neuenhof, Webermühle",8
"Wettingen, Bahnhofstrasse","Wettingen, Ligusterweg",10
"Winterthur, Hedy Hahnloser","Winterthur, Finken-Rain",6
"Winterthur, Lindenplatz","Winterthur, Unterdorf",7
"Wädenswil, Hintere Rüti Ost","Wädenswil, Hintere Rüti West",2
Zumikon,"Zumikon, Dorfzentrum",4
"Zürich Flughafen, Bahnhof",Zürich Flughafen,3
Zürich Limmatquai,"Zürich, Paradeplatz",10
"Zürich Oerlikon, Bahnhof","Zürich, Max-Bill-Platz",8
"Zürich, Albisriederdörfli","Zürich, Albisrieden",3
"Zürich, Alte Trotte","Zürich, Eschergutweg",8
"Zürich, Birchdörfli","Zürich, Krematorium Nordheim",6
"Zürich, Genossenschaftsstrasse","Zürich, Saatlenstrasse",10
"Zürich, Hügelstrasse","Zürich, Sihlcity Nord",7
"Zürich, Nürenbergstrasse","Zürich, Lägernstrasse",9
"Zürich, Okenstrasse","Zürich, Nordstrasse",4
"Zürich, Röslistrasse","Zürich, Kronenstrasse",3
"Zürich, Signaustrasse","Zürich, Hegibachplatz",6
"Zürich, Sonneggstrasse","Zürich, Vogelsangstrasse",9
"Zürich, Waffenplatzstrasse",Zürich Giesshübel,7
"Zürich, Waidfussweg","Zürich, Förrlibuckstrasse",8
"Au ZH, Moosacher","Au ZH, Appital",9
Bassersdorf,"Bassersdorf, Dietlikonerstr.",9
Bremgarten,"Bremgarten AG, Bibenlos",8
"Dietikon, Hofacker","Dietikon, Dörfli",9
"Dübendorf, Post","Dübendorf, Stadthaus",5
"Dübendorf, Schwimmbad","Dübendorf, Bettlistrasse",4
"Effretikon, Weiherstrasse","Effretikon, Langhag",10
"Fischbach-Göslikon, Kirchenack","Fischbach-Göslikon, Reusstal",6
"Herrliberg-Feldmeilen, Bahnhof","Meilen, Tobel",10
"Horgen Oberdorf, Bahnhof","Horgen, Gumelenstrasse",6
"Horgen, Bergli","Horgen, Schinzenhof",10
"Horgen, Wannenthal","Horgen, Dorfgasse",10
"Horgen, Wannerstrasse","Horgen, Stocker",5
"Illnau, Dorfplatz","Illnau, Weisslingerstrasse",4
"Illnau, Weisslingerstrasse","Illnau, Dorfplatz",4
Kilchberg,"Kilchberg ZH, Sanatorium",9
"Langnau am Albis, Altersheim","Langnau am Albis,Oberrenggstr.",10
"Männedorf, Glärnischstrasse","Männedorf, Zentrum Leue",10
"Männedorf, Zentrum Leue","Männedorf, Bahnhof",5
"Pfäffikon ZH, Frohwies","Pfäffikon ZH, Hörnlistrasse",9
"Russikon, Morgenthal","Russikon, Tüfi",6
"Spreitenbach, Langäcker","Spreitenbach, Interio",9
"Wallisellen, Haldenstrasse","Wallisellen, Säntisstrasse",8
"Wallisellen, Zentrum","Wallisellen, Friedhof",5
"Wettingen, Brunnenwiese","Wettingen, Märzengasse",4
"Wettingen, Zentrumsplatz",Rathaus,6
"Winterthur, Fotozentrum","Winterthur, Deutweg",8
"Winterthur, Hedy Hahnloser","Winterthur, Brüttenerfussweg",3
"Winterthur, Jonas Furrer","Winterthur, Irchelstrasse",4
"Zollikerberg, Hasenbart","Zürich, Trichtisal",10
"Zollikon, Beugi","Zollikon, Dufourplatz",10
"Zürich, Aargauerstrasse","Zürich, Sportweg",6
"Zürich, Bürkliplatz",Zürich Bellevue (See),7
"Zürich, Escher-Wyss-Platz","Zürich, Förrlibuckstrasse",9
"Zürich, Helmhaus",Zürich Storchen,3
"Zürich, Käshaldenstrasse","Zürich, Im Ebnet",6
"Zürich, Maillartstrasse","Zürich, Stierenried",6
"Zürich, Morgental","Zürich Wollishofen,Bhf/Staubst",9
"Zürich, Neubühl","Zürich, Dangelstrasse",9
"Zürich, Opernhaus","Zürich, Kreuzplatz",10
"Zürich, Rennweg",Zürich Limmatquai,7
"Zürich, Sonneggstrasse","Zürich, Haldenegg",8
"Zürich, Widmerstrasse","Zürich, Neubühl",10
"Adliswil, Baldernstrasse","Adliswil, Zopf",4
"Au ZH, Austrasse","Au ZH, Schützenhaus",9
Bahnhofstrasse,"Wettingen, Rebstock",6
"Bassersdorf, Schmitte","Bassersdorf, Gemeindehaus",2
"Birmensdorf ZH, Zentrum","Birmensdorf ZH, Bahnhof",8
Bülach,"Bülach, Güterbahnhof",3
"Dübendorf, Högler","Dübendorf, Zelglistrasse",7
Erlenbach ZH,"Erlenbach ZH, Bahnhofstrasse",5
"Fislisbach, Dorfstrasse","Fislisbach, Post",2
Greifensee (See),"Greifensee, Städtli",6
"Gutenswil, Unterdorf","Gutenswil, Grossenacher",7
Herrliberg (See),"Herrliberg, Gartenstrasse",7
"Herrliberg, Busenhardstrasse","Herrliberg, Schulhaus",8
"Herrliberg, Rebberg","Herrliberg, Busenhardstrasse",9
"Horgen, Spital","Horgen Oberdorf, Bahnhof",10
"Ringlikon, Gättern","Uitikon Waldegg, Bahnhof",10
"Rümlang, Ifangstrasse","Rümlang, Hofwisenunterführung",10
"Schlieren, Am Rietpark","Schlieren, Bahnhof Nord",7
"Thalwil, Ebnet","Gattikon, Gattikerhöhe",8
"Thalwil, Trotte","Thalwil, In Reben",4
"Uetikon am See, Talstrasse","Uetikon am See, Oergelacher",9
"Uitikon, Roracher","Uitikon, Dorf",6
"Uster, Apothekerstrasse","Uster, Stadthaus",8
"Uster, Buchholz","Uster, Reithalle",6
"Uster, Loren-Allee","Uster, Gschwader",5
"Uster, Stadthaus","Uster, Bahnhof",7
"Weisslingen, Lendikerstrasse","Weisslingen, Dorf",10
"Wettingen, Ligusterweg",Wettingen,10
"Wettswil a.A., Bäumlisächer","Wettswil a.A., Heidenchilen",10
"Winterthur, Tellstrasse","Winterthur, Hauptbahnhof",10
"Wädenswil, Glärnisch","Wädenswil, Sonnenrainstrasse",7
"Zollikon, Bahnhof",Zollikon,1
Zürich Central (Polybahn),Zürich Limmatquai,9
Zürich Wollishofen,"Zürich, Morgental",10
"Zürich, Bahnhofquai/HB","Zürich, Löwenplatz",8
"Zürich, Bahnhofstrasse/HB","Zürich, Sihlquai/HB",9
"Zürich, Binz",Zürich Binz,1
"Zürich, Buchholz","Zürich, Stodolastrasse",10
"Zürich, Fellenbergstrasse","Zürich, Goldackerweg",9
"Zürich, Friedhof Sihlfeld","Zürich, Bertastrasse",6
"Zürich, Helmhaus","Zürich, Bellevue",8
"Zürich, Lindenplatz","Zürich, Bachmattstrasse",6
"Zürich, Max-Bill-Platz","Zürich, Bollingerweg",6
"Zürich, Opernhaus","Zürich, Bellevue",6
"Zürich, Rennweg","Zürich, Rudolf-Brun-Brücke",8
"Zürich, Riedgraben","Zürich, Hagenholz",10
"Zürich, Rote Fabrik","Zürich, Post Wollishofen",7
"Zürich, Schaffhauserplatz","Zürich, Lettenstrasse",10
"Zürich, Solidapark","Zürich, Grimselstrasse",3
"Zürich, Technopark",Zürich Hardbrücke,9
"Zürich, Wonnebergstrasse","Zürich, EPI-Klinik",10
Bremgarten,Bremgarten Obertor,5
"Herrliberg, Vogtei","Herrliberg, Schulhaus",7
"Horgen, Gehren","Horgen, Ebnetstrasse",8
